恒大雅苑 前面绿地和湖景 看房随时联系 精装修房,恒大雅苑 -宝华商圈,3室2厅 | 122平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,80,"6,558元/平"
宝华碧桂园仙林东郡三房家具家电齐全诚意出售,碧桂园仙林东郡 -宝华商圈,3室1厅 | 95.05平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,67,"7,049元/平"
翰林湾经典大三房 南北 通透 前后楼间距大,碧桂园凤凰城翰林湾 -凤凰城商圈,3室2厅 | 133平米 | 东南 | 精装 | 低楼层(共32层)  | 塔楼,100,"7,519元/平"
云玺苑三房两卫明星户型 双阳台 三开间朝南 急售,云玺苑 -凤凰城商圈,3室2厅 | 133平米 | 南 | 精装 | 低楼层(共23层)  | 塔楼,80,"6,016元/平"
御东国际3期，毛坯四房，中间好楼层，采光辣眼睛！,御东国际三期 -句容主城商圈,4室2厅 | 86平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板塔结合,68,"7,907元/平"
实用两房，急卖，楼下配套完善，公交菜场都有。,京东紫晶 -宝华商圈,2室2厅 | 68.46平米 | 南 | 毛坯 | 低楼层(共35层)  | 塔楼,67,"9,787元/平"
城南经典三房   ！！！！！！！！！！！！！,天玺华府 -句容主城商圈,3室2厅 | 89.32平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 板楼,86,"9,629元/平"
碧桂园凤凰城凤雅苑三房精装修拎包入住园林小区,碧桂园凤凰城凤雅苑 -凤凰城商圈,3室2厅 | 136平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,71,"5,221元/平"
星悦湾精装三房二卫  拎包入住 出行方便,碧桂园凤凰城星悦湾 -凤凰城商圈,3室2厅 | 103.22平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,70,"6,782元/平"
香溪湾3-1-1-2 120.06m² 120 万）,香溪湾 -句容主城商圈,3室1厅 | 120.06平米 | 南 北 | 毛坯 | 32层  | 板楼,95,"7,913元/平"
天玺华府洋房一楼带院子，四房双卫，改善一步到位,天玺华府 -句容主城商圈,4室2厅 | 135平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,165,"12,223元/平"
环境优美 交通便利 采光好 楼间距大 物业好,碧桂园仙林东郡 -宝华商圈,2室1厅 | 84.28平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,71,"8,425元/平"
碧桂园凤凰城柏丽湾地铁口精装三房,碧桂园凤凰城柏丽湾 -凤凰城商圈,3室2厅 | 90.54平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,48,"5,302元/平"
凤凰城翰林湾地铁口采光好，精装小三房,碧桂园凤凰城翰林湾 -凤凰城商圈,3室2厅 | 92.34平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,51,"5,524元/平"
二次精装修地铁口小区，三房设计可拎包入住,碧桂园凤凰城翰林湾 -凤凰城商圈,3室2厅 | 122.9平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,111,"9,032元/平"
碧桂园凤凰城翰林湾三房  户型正  位置好 楼间距大,碧桂园凤凰城翰林湾 -凤凰城商圈,3室2厅 | 123.06平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,86,"6,989元/平"
碧桂园凤凰城芷兰湾 三房两厅两卫 自装房 带车位,碧桂园凤凰城芷兰湾 -凤凰城商圈,3室2厅 | 117平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,63,"5,385元/平"
翰林湾经典大三房 南北 通透 前后楼间距大,碧桂园凤凰城翰林湾 -凤凰城商圈,3室2厅 | 133平米 | 东南 | 精装 | 低楼层(共32层)  | 塔楼,100,"7,519元/平"
城南品质小区，中间好楼层。采光好。。,天玺华府 -句容主城商圈,3室2厅 | 116平米 | 南 | 毛坯 | 低楼层(共16层)  | 板楼,119,"10,259元/平"
s6ggggbvfgvs6轻轨站口 凤凰城精装修三房 满二年急售,碧桂园凤凰城凤雅苑 -凤凰城商圈,3室2厅 | 112.38平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,72,"6,407元/平"
碧桂园凤凰城一期凤仪苑毛坯大三房业主急售价格可议,碧桂园凤凰城·凤仪苑 -凤凰城商圈,3室2厅 | 136.88平米 | 东 | 毛坯 | 高楼层(共30层)  | 塔楼,70,"5,114元/平"
新城开发品质楼盘，一级资质物业。双阳台,新城樾府 -句容主城商圈,3室2厅 | 98平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,77,"7,858元/平"
宝华花园 配套齐全 有证可谈 随时看房 仙林东万达茂旁,宝华花园 -宝华商圈,2室2厅 | 88.21平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,52.6,"5,964元/平"
此房满五年楼层好采光足在配套设施齐全交通便利,京东紫晶 -宝华商圈,2室1厅 | 68.69平米 | 南 | 毛坯 | 低楼层(共35层)  | 塔楼,57,"8,299元/平"
宝华碧桂园仙林东郡新装未住人三室两厅诚意出售,碧桂园仙林东郡 -宝华商圈,3室2厅 | 99.22平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,79,"7,963元/平"
恒大雅苑 房东二次装修自住装地暖 拎包即可入住,恒大雅苑 -宝华商圈,3室2厅 | 113平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,85,"7,523元/平"
一楼带大院子大三房双阳台采光好业主急售,碧桂园凤凰城芷兰湾 -凤凰城商圈,3室2厅 | 135.27平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,101,"7,467元/平"
通风好，采光好，交通便利，视野开阔,四季金辉 -宝华商圈,4室2厅 | 100.36平米 | 南 | 毛坯 | 低楼层(共34层)  | 塔楼,80,"7,972元/平"
四季金辉 精装3房 价格可以小刀,四季金辉 -宝华商圈,3室2厅 | 89.25平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 塔楼,74,"8,292元/平"
碧桂园凤凰城学林苑 4室2厅 西南,碧桂园凤凰城学林苑 -凤凰城商圈,4室2厅 | 144平米 | 西南 | 简装 | 低楼层(共26层)  | 塔楼,98,"6,806元/平"
通透户型 格局好，楼层好，采光足，视野开阔，朝南,仙林悦城 -宝华商圈,3室2厅 | 89.6平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,72,"8,036元/平"
户型方正，布局合理，敞亮通透的小区中罕见户型,建中御东国际六期 -句容主城商圈,3室2厅 | 79平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,68,"8,608元/平"
满两年，地铁口，楼层好，有设施，交通便利，配套齐全,碧桂园凤凰城柏丽湾 -凤凰城商圈,3室2厅 | 94.63平米 | 东南 南 | 精装 | 中楼层(共30层)  | 板楼,55,"5,813元/平"
满两年 楼层好 采光足 视野好 边户,四季金辉 -宝华商圈,3室2厅 | 84.71平米 | 南 | 简装 | 低楼层(共34层)  | 塔楼,79,"9,326元/平"
通透户型 格局好，楼层好，采光足，视野开阔，朝南,仙林悦城 -宝华商圈,3室2厅 | 89.6平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,72,"8,036元/平"
仙林悦城 位置好 满两年 东边户  有钥匙随时看房,仙林悦城 -宝华商圈,3室2厅 | 86.35平米 | 东南 | 毛坯 | 低楼层(共33层)  | 塔楼,68,"7,875元/平"
格局好，楼层好，采光足，视野宽阔,仙林悦城 -宝华商圈,2室1厅 | 82.65平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,65,"7,865元/平"
碧桂园凤凰城 临湖苑 南北通透 满两年 有钥匙 诚心卖,碧桂园凤凰城临湖苑 -凤凰城商圈,3室2厅 | 125.88平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,69.8,"5,545元/平"
万达茂旁 楼层好 采光充足 交通便利 配套设施完整,和昌仙林国际 -宝华商圈,3室2厅 | 90.02平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,75,"8,332元/平"
万达茂双地铁口远洋心里精装3房,远洋心里 -宝华商圈,3室2厅 | 99.22平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,125,"12,599元/平"
南京东  近地铁 户型方正 得房率高,黄梅新村西区 -凤凰城商圈,3室2厅 | 106.22平米 | 南 | 毛坯 | 高楼层(共7层)  | 塔楼,39,"3,672元/平"
精装修 满五住房 业主诚心卖 价格可谈,和昌仙林国际 -宝华商圈,3室1厅 | 103.06平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,98,"9,510元/平"
上書房3-2-1-1 115.00m² 115 万,上書房 -句容主城商圈,3室2厅 | 115平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,83.8,"7,287元/平"
汤山东黄梅新村东区 大三房 好楼层 诚意出售,黄梅新村东区 -凤凰城商圈,3室2厅 | 106.22平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 塔楼,48,"4,519元/平"
此房位置好，随时可过户，旁边地铁口，菜场,碧桂园凤凰城临湖苑 -凤凰城商圈,3室2厅 | 99.92平米 | 西南 | 精装 | 中楼层(共33层)  | 塔楼,68,"6,806元/平"
碧桂园凤凰城柏丽湾三房诚心出售交通方便,碧桂园凤凰城柏丽湾 -凤凰城商圈,3室1厅 | 95.2平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,55,"5,778元/平"
金樾公馆，近车站，近地铁。交通便利。近学‘校,金樾公馆 -句容主城商圈,3室2厅 | 108平米 | 南 | 毛坯 | 低楼层(共28层)  | 板楼,86,"7,963元/平"
此房方方正正，双阳台，视线开阔，采光充足,金樾公馆 -句容主城商圈,3室2厅 | 118平米 | 东南 南 北 | 毛坯 | 高楼层(共24层)  | 板楼,118,"10,000元/平"
纯板式结构各个房间都通透，视野开阔,金樾公馆 -句容主城商圈,3室1厅 | 110平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,95,"8,637元/平"
天玺华府101平三房毛坯107万，户型好,天玺华府 -句容主城商圈,3室1厅 | 101.15平米 | 南 | 毛坯 | 中楼层(共16层)  | 板楼,106,"10,480元/平"
城西新小区，全南两房，户型方正，无浪费面积！,天悦容城 -句容主城商圈,2室2厅 | 86.81平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,40,"4,608元/平"
生活配套便捷，交通便利，距离公园0.5公里，采光..,香江公馆 -句容主城商圈,3室1厅 | 115平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,75.8,"6,592元/平"
此房屋满二，楼层适中，光线充足。,碧桂园凤凰城·凤仪苑 -凤凰城商圈,3室1厅 | 112.38平米 | 南 | 毛坯 | 高楼层(共30层)  | 塔楼,66,"5,873元/平"
御东六期婚装四房 采光好 有钥匙随时看,建中御东国际六期 -句容主城商圈,4室2厅 | 89.49平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,79,"8,828元/平"
世茂花园简装两房！小高层双阳台！随时看房！,世茂花园 -句容主城商圈,2室2厅 | 111.23平米 | 南 北 | 简装 | 低楼层(共20层)  | 板楼,60,"5,395元/平"
碧桂园凤凰城地铁口小三房诚心出售交通便利,碧桂园凤凰城柏丽湾 -凤凰城商圈,3室2厅 | 92平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,48,"5,218元/平"
户型方正，精装拎包入住，黄梅地铁口二百米,碧桂园凤凰城柏丽湾 -凤凰城商圈,3室2厅 | 95.09平米 | 南 北 | 精装 | 高楼层(共30层)  | 塔楼,56,"5,890元/平"
临湖湖景房地铁口一号门大门口，满二，视野开阔无遮挡,碧桂园凤凰城临湖苑 -凤凰城商圈,3室2厅 | 126.13平米 | 南 北 | 精装 | 低楼层(共26层)  | 塔楼,73,"5,788元/平"
南京东，地铁口，精装修。大三房,碧桂园凤凰城翰林湾 -凤凰城商圈,3室1厅 | 122.9平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,80,"6,510元/平"
满两年，业主诚心出售，视野开阔无遮挡，适合居住。,碧桂园凤凰城柏丽湾 -凤凰城商圈,3室1厅 | 90.54平米 | 南 | 简装 | 高楼层(共33层)  | 塔楼,52,"5,744元/平"
碧桂园凤凰城凤雅苑新空毛坯三房急售看房方便,碧桂园凤凰城凤雅苑 -凤凰城商圈,3室2厅 | 112平米 | 南 | 毛坯 | 中楼层(共30层)  | 塔楼,68,"6,072元/平"
精装修拎包入住，环境优美，楼层好，位置好。,碧桂园凤凰城水蓝湾 -凤凰城商圈,3室2厅 | 92平米 | 南 北 | 精装 | 高楼层(共32层)  | 塔楼,49,"5,327元/平"
房东急售，房子保养很好，价格可谈,碧桂园凤凰城星悦湾 -凤凰城商圈,4室2厅 | 122平米 | 东南 西南 | 精装 | 低楼层(共33层)  | 塔楼,70,"5,738元/平"
房东急售，房子保养很好，价格可谈,碧桂园凤凰城星悦湾 -凤凰城商圈,4室2厅 | 122平米 | 东南 西南 | 精装 | 低楼层(共33层)  | 塔楼,70,"5,738元/平"
南京东，地铁口，精装修。大三房,碧桂园凤凰城翰林湾 -凤凰城商圈,3室1厅 | 122.9平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,80,"6,510元/平"
碧桂园凤凰城凤雅苑新空毛坯三房急售看房方便,碧桂园凤凰城凤雅苑 -凤凰城商圈,3室2厅 | 112平米 | 南 | 毛坯 | 中楼层(共30层)  | 塔楼,68,"6,072元/平"
地铁口，满两年，二次装修，湖景房,碧桂园凤凰城临湖苑 -凤凰城商圈,3室2厅 | 125平米 | 南 北 | 精装 | 中楼层(共31层)  | 塔楼,81,"6,480元/平"
地铁口精装修179平四房小区环境优美出行方便,碧桂园凤凰城柏丽湾 -凤凰城商圈,4室2厅 | 179.55平米 | 南 | 精装 | 低楼层(共31层)  | 板楼,117,"6,517元/平"
不靠马路视野采光好楼间距大精装满二好房,碧桂园凤凰城翰林湾 -凤凰城商圈,3室2厅 | 92.72平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,85,"9,168元/平"
此房源满两年，采光好，楼层好，四室两厅一卫户型。,建中御东国际六期 -句容主城商圈,2室2厅 | 89平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 暂无数据,75,"8,427元/平"
万达茂双地铁口 远洋心里精致小3房诚售,远洋心里 -宝华商圈,3室2厅 | 87.75平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,75,"8,548元/平"
户型方正 位置好 采光无遮挡 中高楼层,云玺苑 -凤凰城商圈,3室2厅 | 130.29平米 | 西北 | 精装 | 高楼层(共33层)  | 塔楼,85,"6,524元/平"
仙林东  万达茂旁    仙林首望三房   南京首站,仙林首望城 -宝华商圈,3室1厅 | 100平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,140,"14,000元/平"
三房两卫  位置好  未住过人的新房,云玺苑 -凤凰城商圈,3室1厅 | 134.33平米 | 南 | 精装 | 中楼层(共23层)  | 塔楼,96,"7,147元/平"
优质三房拎包入住，满二诚心出售,碧桂园凤凰城凤鸣苑 -凤凰城商圈,3室2厅 | 115.42平米 | 南 | 精装 | 高楼层(共28层)  | 塔楼,56.5,"4,896元/平"
满二精装单室套，近南京地铁S6，拎包入住,碧桂园凤凰城·凤仪苑 -凤凰城商圈,1室1厅 | 52.48平米 | 北 | 精装 | 中楼层(共29层)  | 塔楼,35,"6,670元/平"
山景房，四开间朝南，采光通风好,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 123.15平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,90,"7,309元/平"
南京东  近地铁  出行便利   购物方便,碧桂园凤凰城星悦湾 -凤凰城商圈,3室2厅 | 104平米 | 南 | 精装 | 高楼层(共27层)  | 塔楼,63,"6,058元/平"
央企开发商  纯边户  采光足  视野佳,招商国际E城 -宝华商圈,3室2厅 | 92.98平米 | 南 | 精装 | 低楼层(共34层)  | 塔楼,112,"12,046元/平"
临湖苑 湖景大三房  南北通透 全天采光！,碧桂园凤凰城临湖苑 -凤凰城商圈,3室2厅 | 125平米 | 南 北 | 简装 | 高楼层(共33层)  | 塔楼,75,"6,000元/平"
翰林湾好楼层 精装交付 大三房,碧桂园凤凰城翰林湾 -凤凰城商圈,3室2厅 | 134.06平米 | 南 东 | 简装 | 中楼层(共30层)  | 塔楼,80,"5,968元/平"
翡翠华府二期 精装四房拎包入住一梯一户满2年诚售,碧桂园翡翠华府二期 -宝华商圈,4室1厅 | 142.74平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,145,"10,159元/平"
中间楼层东边湖景视野好无遮挡精装满二无抵押好房,碧桂园凤凰城临湖苑 -凤凰城商圈,4室1厅 | 176.4平米 | 南 北 | 精装 | 中楼层(共30层)  | 塔楼,120,"6,803元/平"
本房户型方正，采光充足，视野开阔，三开间朝南,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 95.95平米 | 南 北 | 精装 | 中楼层(共29层)  | 板楼,73,"7,609元/平"
学林苑三房新房刚交付地铁S6黄梅站诚心出售,碧桂园凤凰城学林苑 -凤凰城商圈,3室1厅 | 91.6平米 | 南 北 | 精装 | 高楼层(共24层)  | 塔楼,65,"7,097元/平"
四季金辉 业主自住精装修四房 南北通透采光好 楼层好,四季金辉 -宝华商圈,4室1厅 | 105.91平米 | 南 北 | 精装 | 低楼层(共34层)  | 塔楼,87,"8,215元/平"
精装修 楼层好 位置佳 看房方便 东户全明户型,招商国际E城 -宝华商圈,3室2厅 | 92.98平米 | 东 东南 | 精装 | 高楼层(共34层)  | 板楼,119,"12,799元/平"
离南京近.小区配套齐全..精装修满两年无贷款,碧桂园翡翠华府 -宝华商圈,3室2厅 | 115平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,103,"8,957元/平"
满二 楼层好 户型方正 随时看房 诚心出售,帝源都小区二期 -宝华商圈,3室2厅 | 104平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,79.5,"7,645元/平"
京东紫晶  两居室 配套齐全 带菜场 生活设施齐全,京东紫晶 -宝华商圈,2室1厅 | 55平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,37,"6,728元/平"
30万精装 有地暖 双卫 景观楼层 有钥匙,仙林悦城 -宝华商圈,3室1厅 | 87平米 | 南 | 简装 | 低楼层(共33层)  | 塔楼,69,"7,932元/平"
近地铁口 出行方便 楼层好采光好 户型方正,碧桂园凤凰城水蓝湾 -凤凰城商圈,3室2厅 | 133.24平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,66,"4,954元/平"
通风好，采光好，交通便利，视野开阔,四季金辉 -宝华商圈,3室1厅 | 86.82平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,72,"8,294元/平"
通风好，采光好，交通便利，视野开阔,四季金辉 -宝华商圈,3室1厅 | 86.82平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,72,"8,294元/平"
山景房，四开间朝南，采光通风好,碧桂园大学印象峰景苑 -宝华商圈,4室1厅 | 139.49平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,110,"7,886元/平"
纯边户  采光很好  户型方正  小区绿化养眼,建中御东国际六期 -句容主城商圈,4室2厅 | 99.77平米 | 南 | 毛坯 | 低楼层(共32层)  | 暂无数据,70,"7,017元/平"
好楼层，高档小区，环境好，采光好,金樾公馆 -句容主城商圈,3室2厅 | 100.77平米 | 南 | 毛坯 | 高楼层(共23层)  | 板塔结合,82,"8,138元/平"
碧桂园凤凰城280平 大阳台 诚心卖 看房方便 价格可谈,碧桂园凤凰城凤雅苑 -凤凰城商圈,4室2厅 | 280.93平米 | 南 | 毛坯 | 中楼层(共29层)  | 塔楼,130,"4,628元/平"
芷兰湾101平经典三房 全明户型 拎包入住,碧桂园凤凰城芷兰湾 -凤凰城商圈,3室2厅 | 101平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,65,"6,436元/平"
此房满二 交通便利 视野开阔 配套齐全,碧桂园凤凰城芷兰湾 -凤凰城商圈,4室2厅 | 142.34平米 | 南 北 | 精装 | 低楼层(共17层)  | 塔楼,80,"5,621元/平"
大平层二次装修，湖景房，低楼层采光没影响,碧桂园凤凰城水蓝湾 -凤凰城商圈,4室1厅 | 273.79平米 | 东 东南 南 | 精装 | 低楼层(共32层)  | 塔楼,160,"5,844元/平"
楼层好，视野开阔，采光佳，地铁站一览无余,碧桂园凤凰城水蓝湾 -凤凰城商圈,3室2厅 | 133.74平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,68,"5,085元/平"
碧桂园凤凰城芷兰湾 3室2厅 南,碧桂园凤凰城芷兰湾 -凤凰城商圈,3室2厅 | 125平米 | 南 | 其他 | 高楼层(共31层)  | 塔楼,65,"5,200元/平"
碧桂园凤凰城凤鸣苑 2室1厅 南,碧桂园凤凰城凤鸣苑 -凤凰城商圈,2室1厅 | 88平米 | 南 | 其他 | 低楼层(共29层)  | 塔楼,53,"6,023元/平"
宝华花园 好房推荐  带储藏室 有证随时交易,宝华花园 -宝华商圈,2室2厅 | 58平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,42,"7,242元/平"
仙林悦城 18层小高层  业主精装基本没住 价格可谈,仙林悦城 -宝华商圈,2室2厅 | 82.6平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,77,"9,323元/平"
柏丽湾顶楼大三房 独立露台阳光房,碧桂园凤凰城柏丽湾 -凤凰城商圈,3室2厅 | 140.56平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,81,"5,763元/平"
此房楼层好 小区环境好 交通便利  生活配套齐全.....,恒大雅苑 -宝华商圈,3室2厅 | 126.2平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,95,"7,528元/平"
万达茂双地铁 远洋心里 边户3室,远洋心里 -宝华商圈,3室2厅 | 99.23平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,74,"7,458元/平"
恒大雅苑旁 天正理想城边户位置佳户型好,天正理想城 -宝华商圈,4室2厅 | 120平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板塔结合,100,"8,334元/平"
城南地铁口吾悦旁 金樾公馆 三房双卫好房,金樾公馆 -句容主城商圈,3室2厅 | 111平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板楼,105,"9,460元/平"
近南京，房子格局好，户型方正，双地铁交通便利,仙林悦城 -宝华商圈,3室2厅 | 115.45平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,73,"6,324元/平"
近南京，格局好，，急售，双地铁,仙林悦城 -宝华商圈,2室1厅 | 67平米 | 南 | 简装 | 高楼层(共33层)  | 塔楼,45,"6,717元/平"
此房满两年 采光好 视野无遮挡,碧桂园凤凰城水蓝湾 -凤凰城商圈,3室2厅 | 123.22平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,65,"5,276元/平"
招商大户型，四方户型，大阳台，好楼层，出行方便,招商国际E城 -宝华商圈,4室2厅 | 133平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,111,"8,346元/平"
南京东黄梅站 新空大三房 满五年 单价5千苏州园林环境,碧桂园凤凰城凤雅苑 -凤凰城商圈,3室1厅 | 136.26平米 | 南 北 | 毛坯 | 低楼层(共29层)  | 塔楼,65,"4,771元/平"
满两年东边户大四房，二次装修含设施 采光无遮挡,云玺苑 -凤凰城商圈,4室2厅 | 192平米 | 南 北 | 精装 | 低楼层(共31层)  | 塔楼,130,"6,771元/平"
芷兰湾101户型满二无贷三房朝南采光无遮挡,碧桂园凤凰城芷兰湾 -凤凰城商圈,3室2厅 | 99.72平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,59,"5,917元/平"
湖景边户三房两卫 全明中高楼层视野开阔阳光辣眼,碧桂园凤凰城芷兰湾 -凤凰城商圈,3室2厅 | 117.21平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,64,"5,461元/平"
急 黄梅新村西区好楼层106平精装大三房含23平大车库,黄梅新村西区 -凤凰城商圈,3室2厅 | 106.09平米 | 南 北 | 精装 | 中楼层(共7层)  | 塔楼,70,"6,599元/平"
房子格局好，楼层好，采光足，户型正,招商国际E城 -宝华商圈,3室1厅 | 86.58平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,63,"7,277元/平"
环境优，进出南京方便靠地铁，业主急售，价格优,碧桂园凤凰城柏丽湾 -凤凰城商圈,3室2厅 | 95.09平米 | 南 | 精装 | 中楼层(共30层)  | 塔楼,57,"5,995元/平"
翰林地铁口位置满二，视野开阔无遮挡，配套全,碧桂园凤凰城翰林湾 -凤凰城商圈,3室2厅 | 133.64平米 | 南 北 | 精装 | 高楼层(共31层)  | 塔楼,75,"5,613元/平"
地铁口，满两年，有设施，全天有采光,碧桂园凤凰城柏丽湾 -凤凰城商圈,3室2厅 | 115.96平米 | 南 北 | 精装 | 高楼层(共32层)  | 塔楼,63,"5,433元/平"
地铁口学林苑144平大四房，采光好，视野好，生活方便,碧桂园凤凰城学林苑 -凤凰城商圈,4室2厅 | 143.41平米 | 南 | 精装 | 低楼层(共26层)  | 塔楼,84.7,"5,907元/平"
急售仙林东 双地铁京东紫晶精装修满两年 出行方便,京东紫晶 -宝华商圈,3室2厅 | 64.39平米 | 南 北 | 精装 | 低楼层(共34层)  | 塔楼,75,"11,648元/平"
碧桂园凤凰城柏丽湾精装大四房，户型方正,碧桂园凤凰城柏丽湾 -凤凰城商圈,4室2厅 | 273.78平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,175,"6,392元/平"
房主诚心出售，楼栋位置佳，带车位，二手新房,碧桂园凤凰城星悦湾 -凤凰城商圈,4室2厅 | 123.41平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,65,"5,267元/平"
急 黄梅新村西区好楼层106平精装大三房含23平大车库,黄梅新村西区 -凤凰城商圈,3室2厅 | 106.09平米 | 南 北 | 精装 | 中楼层(共7层)  | 塔楼,70,"6,599元/平"
天正好房推荐 毛坯一次未住  视野佳 楼层佳,天正理想城 -宝华商圈,3室1厅 | 88平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,76,"8,637元/平"
房子格局好，楼层好，采光足，户型正,招商国际E城 -宝华商圈,3室1厅 | 86.58平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,63,"7,277元/平"
芷兰湾101户型满二无贷三房朝南采光无遮挡,碧桂园凤凰城芷兰湾 -凤凰城商圈,3室2厅 | 99.72平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,59,"5,917元/平"
碧桂园凤凰城柏丽湾 3室2厅 南,碧桂园凤凰城柏丽湾 -凤凰城商圈,3室2厅 | 96平米 | 南 | 简装 | 低楼层(共30层)  | 塔楼,52,"5,417元/平"
楼层好视野宽广采光足在配套设施齐全交通便利,京东紫晶 -宝华商圈,3室2厅 | 79.81平米 | 南 | 精装 | 中楼层(共35层)  | 板楼,68,"8,521元/平"
碧桂园凤凰城柏丽湾精装修3房南北通透,碧桂园凤凰城柏丽湾 -凤凰城商圈,3室2厅 | 96平米 | 南 北 | 精装 | 中楼层(共30层)  | 塔楼,51.8,"5,396元/平"
紧靠南京 万达茂 新上好房 中间楼层,和昌仙林国际 -宝华商圈,3室2厅 | 95平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,81,"8,527元/平"
招商国际E城 3室1厅 南,招商国际E城 -宝华商圈,3室1厅 | 105平米 | 南 | 简装 | 高楼层(共34层)  | 塔楼,90,"8,572元/平"
湖景边户三房两卫 全明中高楼层视野开阔阳光辣眼,碧桂园凤凰城芷兰湾 -凤凰城商圈,3室2厅 | 117.21平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,64,"5,461元/平"
仙林万达茂旁 央企开发 远洋心里 毛坯三房,远洋心里 -宝华商圈,3室1厅 | 92.52平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,65,"7,026元/平"
二装房精装修诚心出格局有变动南北通透视野开阔无遮挡,碧桂园凤凰城翰林湾 -凤凰城商圈,3室2厅 | 96.45平米 | 南 北 | 精装 | 中楼层(共31层)  | 塔楼,60,"6,221元/平"
