采光充足，交通便利，天鸿苑不临高速，有钥匙随时看房,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 132.2平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,73,"5,522元/平"
房产证满两，采光好，视野好，环境优美，花园式小区,恒大金碧天下湖光苑 -溧水恒大,4室1厅 | 135平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,87,"6,445元/平"
近地铁高铁 恒大精装3房 新空房未入住 观湖景,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 114.78平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,76,"6,622元/平"
秋湖嘉苑二期，93平，59万．．．．．．．,秋湖嘉苑二期 -溧水城南,2室2厅 | 93平米 | 南 | 其他 | 低楼层(共18层)  | 塔楼,52,"5,592元/平"
楼间距宽  环境好  总价低  天然氧吧,秋湖嘉苑一期 -溧水城南,1室1厅 | 62平米 | 南 | 毛坯 | 低楼层(共15层)  | 板塔结合,31,"5,000元/平"
毛坯，总价低，房型方正，城南地段,中南锦城 -溧水城南,2室1厅 | 87.42平米 | 南 | 毛坯 | 低楼层(共24层)  | 塔楼,93,"10,639元/平"
好楼层，南北通，配套齐全，交通便利,广成东方名城 -溧水城南,2室2厅 | 85平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,85,"10,000元/平"
户型方正，南北格局，通风好，采光好， 配套设施齐..,水岸康城 -溧水城南,2室1厅 | 65.5平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,87,"13,283元/平"
城中小区多层带错层 东边户，精装修保养完好 含储藏室,宏泰花苑东区 -溧水城中,3室1厅 | 123平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,95,"7,724元/平"
此房中楼层，毛坯， 户型方正型适合改善客户 无遮挡,创维乐活城 -溧水城北,3室1厅 | 93.05平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,67,"7,201元/平"
恒大天鸿苑，中间楼层，采光充沛，视野开阔。,恒大金碧天下天鸿苑 -溧水恒大,2室2厅 | 89.88平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,53,"5,897元/平"
楼层好 采光充足 环境好 天然氧吧 生活交通便利,秋湖嘉苑一期 -溧水城南,2室2厅 | 103平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,62,"6,020元/平"
采光好 视野开阔 户型优越 高档精装房,恒大金碧天下湖光苑 -溧水恒大,2室2厅 | 91.51平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,64,"6,994元/平"
溧水城中小区  满二精装  房东诚意出售,宏泰嘉苑 -溧水城中,2室1厅 | 96.8平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,86,"8,885元/平"
生活方便交通便利，配套齐全 电梯房好楼层 户型方正,创维乐活城 -溧水城北,3室2厅 | 93平米 | 南 | 其他 | 中楼层(共26层)  | 板塔结合,95,"10,216元/平"
此房满二，价格可谈，满二精装，恒大物业，环境好宜居,恒大金碧天下天鸿苑 -溧水恒大,4室1厅 | 160平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,97,"6,063元/平"
楼层间距大，采光好。物业好。通风好，,秋湖嘉苑二期 -溧水城南,3室2厅 | 123.67平米 | 南 北 | 其他 | 高楼层(共18层)  | 塔楼,72,"5,822元/平"
"毛坯，户型好格局好方正, 满两年 邻近学和地铁和购物",喜之郎丽湖湾 -溧水城北,4室2厅 | 120.65平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,118,"9,781元/平"
户型好，精装修 采光好 交通方便 采光好,爱涛天逸园 -溧水城中,2室2厅 | 89平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,83,"9,326元/平"
城北高档小区，毛坯可塑性强，业主诚心出售,秦淮源筑 -溧水城北,3室2厅 | 120.54平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,106,"8,794元/平"
楼层好 采光充足 视野宽阔 配套齐全 交通便利,中南锦城 -溧水城南,3室2厅 | 87.5平米 | 南 | 其他 | 高楼层(共24层)  | 塔楼,100,"11,429元/平"
生活方便交通便利，配套齐全.交通方便,创维乐活城 -溧水城北,3室2厅 | 93.52平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,76,"8,127元/平"
万达三期精装房出售 双阳台 户型方正  南北朝向,溧水万达御景仕家三期 -溧水城南,4室1厅 | 128.52平米 | 南 北 | 精装 | 高楼层(共17层)  | 暂无数据,167,"12,995元/平"
紫枫雅苑 高楼层 有钥匙 看房方便,紫枫雅苑 -溧水城北,2室2厅 | 87.1平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,56,"6,430元/平"
创维佳园好房推荐 户型方正 采光不错 楼层好,创维佳园 -溧水城北,2室2厅 | 77平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,56,"7,273元/平"
南方新城 精装修 配套齐全 看房方便,南方新城B区 -溧水城南,2室2厅 | 80平米 | 南 | 其他 | 中楼层(共6层)  | 塔楼,75,"9,375元/平"
中南锦城纯毛坯三房两厅好房出售！！！,中南锦城 -溧水城南,3室2厅 | 87.45平米 | 南 | 其他 | 低楼层(共25层)  | 塔楼,96,"10,978元/平"
急急急！花样年洋房 凤凰楼层 全新未入住一口价70.8万,花样年家天下 -溧水城北,3室2厅 | 88.68平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,70.8,"7,984元/平"
溧水城南片区广成东方名城好房出售,广成东方名城 -溧水城南,2室1厅 | 84平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,99,"11,786元/平"
琉璃花园 南北通风 户型方正 地铁口 大润发 万达广场,琉璃花园 -溧水城南,2室2厅 | 94平米 | 南 | 其他 | 中楼层(共11层)  | 塔楼,96,"10,213元/平"
参照美国圣巴巴拉小镇风格，主题水镇，依山傍水,卧龙湖 -溧水其它,3室2厅 | 124.99平米 | 南 | 其他 | 低楼层(共12层)  | 暂无数据,75,"6,001元/平"
海伦国际 毛坯4房2卫 采光好 旁边海乐城和步行街,海伦国际 -溧水城中,4室2厅 | 129.4平米 | 南 | 其他 | 中楼层(共34层)  | 板楼,195,"15,070元/平"
好房出售，户型好，楼层好.欢迎随时看房,新月湾 -溧水城中,3室1厅 | 116.58平米 | 南 | 其他 | 低楼层(共26层)  | 暂无数据,117,"10,037元/平"
琴韵华庭 大三房 满二 毛坯 诚心出售 采光佳 视野好,琴韵华庭 -溧水城北,3室2厅 | 98.22平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,83,"8,451元/平"
"此房毛坯， 户型方正型,适合刚需客户,无遮挡",创维乐活城 -溧水城北,3室1厅 | 89.41平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,84.5,"9,451元/平"
此房户型方正，生活，交通便利。,秦淮花苑南区 -溧水城北,2室2厅 | 93平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,77.7,"8,355元/平"
秦淮东郡95.23平简装，满２年102万,秦淮东郡 -溧水城中,3室2厅 | 95.23平米 | 南 | 其他 | 中楼层(共24层)  | 板塔结合,97,"10,186元/平"
精装三房，未入住过，户型方正，环境优雅,溧水万达御景仕家一期 -溧水城南,3室2厅 | 106平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,128,"12,076元/平"
楼间距大 客厅朝南 小区环境好 品质物业,溧水万达御景仕家一期 -溧水城南,3室1厅 | 106平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,130,"12,265元/平"
城南好位置 户型好得房率高居住舒适,涌鑫花园 -溧水城中,2室2厅 | 114平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,114,"10,000元/平"
视野开阔 两房朝南 客厅朝南 小区环境好,溧水万达御景仕家一期 -溧水城南,3室1厅 | 130平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,219,"16,847元/平"
此房满二，精装修三房，拎包入住，配套全，交通便利,亚东同城逸境 -溧水城北,3室2厅 | 140平米 | 南 | 其他 | 低楼层(共18层)  | 塔楼,170,"12,143元/平"
凤麟水苑自住精装拎包入住，满2年,凤麟水苑 -溧水城南,3室2厅 | 119平米 | 南 | 其他 | 低楼层(共26层)  | 塔楼,165,"13,866元/平"
光充足 配套齐全 小区环境很好 人车分流的设计 满两年,中山首府 -溧水城南,3室2厅 | 132.18平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,183,"13,845元/平"
此房源面积适中，户型方正总价适宜，楼层好采光充足,中山首府 -溧水城南,4室2厅 | 169.05平米 | 南 | 其他 | 高楼层(共17层)  | 板楼,341,"20,172元/平"
此房是精装修交付。采光好，落地窗，配套全,溧水万达御景仕家一期 -溧水城南,3室2厅 | 119.14平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,149,"12,507元/平"
老精装，可拎包入住，视野开阔，采光充足，税费少,医苑小区 -溧水城中,3室2厅 | 119.87平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,100,"8,343元/平"
户型方正 采光充足 楼层好 配套成熟 交通便利 环境好,秀园西苑保障房 -溧水城中,3室2厅 | 123平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,136,"11,057元/平"
此房地理位置好，毛坯可塑性强，可根据自己喜好装修,中山首府 -溧水城南,3室2厅 | 124.9平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,163,"13,051元/平"
金东城世家一期  地铁口婚装拎包住 价可谈 诚心出售,金东城世家一期 -溧水城北,3室2厅 | 119.25平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,127,"10,650元/平"
东城世家一期.  130平  多层  简装,金东城世家一期 -溧水城北,3室2厅 | 130平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,113,"8,693元/平"
此房满2年，拎包入住，户型方正，南北通风,创维佳园 -溧水城北,3室2厅 | 107平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,88,"8,225元/平"
楼层好，视野宽阔，采光充足，配套设施齐 。,荷花嘉苑 -溧水城北,3室2厅 | 123.22平米 | 南 北 | 其他 | 中楼层(共11层)  | 塔楼,103,"8,360元/平"
城中好地段，生活便利，户型方正，可实用面积大,宏泰花苑东区 -溧水城中,3室2厅 | 132平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,112,"8,485元/平"
总价低，采光好，前后无遮挡。业主诚售,一品骊城 -溧水城北,3室2厅 | 123平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,105,"8,537元/平"
此房楼层好 通风效果好 户型方正 采光充足 随时看房.,分龙岗西路 -溧水城中,3室2厅 | 114.54平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,115,"10,041元/平"
此房满二，好楼层，带*大阳台，，看中价格可议,恒大金碧天下湖光苑 -溧水恒大,4室3厅 | 313平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,400,"12,780元/平"
诚心卖 有露台 满五年 阳光好,宏泰花苑东区 -溧水城中,3室2厅 | 90.03平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,91,"10,108元/平"
天人佳园 130.08平 158万 精装 拎包入住,天人佳园 -溧水城中,3室2厅 | 130.08平米 | 南 北 | 其他 | 中楼层(共4层)  | 板楼,110,"8,457元/平"
城北优质小三房，户型方正，价可议，看房方便,创维乐活城 -溧水城北,3室2厅 | 92.29平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,94,"10,186元/平"
创维佳园 附带阁楼 大露台 精装 随时看房,创维佳园 -溧水城北,3室2厅 | 96平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,86.2,"8,980元/平"
此房满5  三房朝南 无增值税 得房率高 楼采光好,宏力花苑 -溧水城中,3室2厅 | 121平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,95,"7,852元/平"
配套设施齐全，交通便利，自住精装修空置中,爱涛天岳城 -溧水城南,3室2厅 | 132平米 | 南 | 其他 | 低楼层(共25层)  | 塔楼,138,"10,455元/平"
锦绣家园，精装大三房，业主急售，价格可谈,宏进锦绣家园 -溧水城北,3室2厅 | 107平米 | 南 | 其他 | 高楼层(共7层)  | 板塔结合,82,"7,664元/平"
好房出售，好房出售，好房出售，好房出售，,橡树城 -溧水城北,4室2厅 | 143.25平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,115,"8,028元/平"
楼层好，生活方便交通便利，配套齐全，精装修,创维佳园 -溧水城北,3室1厅 | 94.39平米 | 南 北 | 其他 | 低楼层(共6层)  | 板塔结合,96,"10,171元/平"
中山首 府，简装小三房，满两年 楼层好，电梯房,中山首府 -溧水城南,3室2厅 | 90平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,115,"12,778元/平"
此房源面积适中，户型方正总价适宜，楼层好采光充足,中山首府 -溧水城南,3室1厅 | 108平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,171,"15,834元/平"
溧水城北区域；小区绿化环境很好,卧龙湖 -溧水其它,3室2厅 | 148.14平米 | 南 北 | 其他 | 中楼层(共4层)  | 板楼,195,"13,164元/平"
此房源户型方正，精装，旁边是幼儿园，苏果，公园,创维佳园 -溧水城北,3室2厅 | 123.97平米 | 东 | 其他 | 低楼层(共18层)  | 板塔结合,100,"8,067元/平"
此房满两年，税费低。契税；首套1个点 二套契税1.5,宏进锦绣家园 -溧水城北,2室1厅 | 82平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,73.5,"8,964元/平"
卧龙湖小镇开发商精装修  朝南户型  满2年  看房方便,卧龙湖 -溧水其它,2室1厅 | 72平米 | 东南 | 其他 | 低楼层(共20层)  | 板楼,38,"5,278元/平"
满两年   采光充足    生活交通便利  诚心出售,金东城世家一期 -溧水城北,3室2厅 | 119平米 | 南 | 其他 | 低楼层(共5层)  | 板楼,115,"9,664元/平"
溧水城中，亚东同城印象大三房出售，自住精装,亚东同城印象 -溧水城中,3室2厅 | 138平米 | 南 | 其他 | 中楼层(共10层)  | 板楼,147.6,"10,696元/平"
溧水城南凤麟水苑精装修房诚售..  ..,凤麟水苑 -溧水城南,3室2厅 | 113平米 | 南 北 | 其他 | 低楼层(共11层)  | 塔楼,158,"13,983元/平"
位置好，采光很好，好户型，看房方便,金东城世家一期 -溧水城北,3室1厅 | 97平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,80,"8,248元/平"
业主诚心出售，房屋满两年...,爱涛天逸园 -溧水城中,3室2厅 | 100.27平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,104,"10,372元/平"
海伦国际 简装 东边户 景观房 满2年 随时看房,海伦国际 -溧水城中,3室1厅 | 116.49平米 | 南 北 | 其他 | 高楼层(共20层)  | 板楼,122,"10,474元/平"
此房户型方正，新小区环境好，看房方便，,金龙南郡 -溧水城南,3室1厅 | 90.4平米 | 南 | 其他 | 高楼层(共11层)  | 暂无数据,95,"10,509元/平"
碧桂园翡翠台精装地暖 经典四房 采光好物业佳 配套全,碧桂园翡翠台 -溧水城南,4室2厅 | 143.2平米 | 南 北 | 其他 | 低楼层(共18层)  | 板塔结合,199,"13,897元/平"
恒大好房推荐，电梯，开发商精装，拎包入住,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 127.21平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,92,"7,233元/平"
中间楼层，一梯一户，采光刺眼...,石虎名苑 -溧水城南,3室2厅 | 125.63平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,106,"8,438元/平"
金龙南郡120平米售135万  毛坯   随时看房,金龙南郡 -溧水城南,3室2厅 | 120平米 | 南 | 其他 | 低楼层(共11层)  | 板塔结合,125,"10,417元/平"
满2年家具家店齐全楼层好拎包入住全南户型,恒大金碧天下天鸿苑 -溧水恒大,3室1厅 | 125.04平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,98,"7,838元/平"
城南好房 万科物业 三房采光充足 满二 税少,万科城棕榈苑 -溧水城南,3室2厅 | 89.97平米 | 南 | 其他 | 低楼层(共23层)  | 塔楼,100,"11,115元/平"
溧水区城南户型方正三房两卫 精装满二,时代景园 -溧水城南,3室2厅 | 118平米 | 北 南 | 其他 | 高楼层(共18层)  | 板楼,150,"12,712元/平"
楼层好 采光充足  康利广场 生活交通便利,康利华府 -溧水城南,3室2厅 | 132平米 | 南 | 其他 | 中楼层(共15层)  | 塔楼,175,"13,258元/平"
电梯小洋房，可实用面积大，中间楼层采光充足居住舒适,金龙南郡 -溧水城南,3室2厅 | 103平米 | 南 | 其他 | 高楼层(共11层)  | 板塔结合,95,"9,224元/平"
万科棕榈苑 小三房 户 中间楼层 满两年 采光充足,万科城棕榈苑 -溧水城南,3室1厅 | 89平米 | 南 | 精装 | 中楼层(共28层)  | 塔楼,110,"12,360元/平"
万科洋房楼层好，采光好，视野好，公摊面积小。,万科城梧桐苑 -溧水城南,3室2厅 | 93平米 | 南 | 精装 | 中楼层(共9层)  | 塔楼,130,"13,979元/平"
万科物业 24小时安保 二次装修 艺术风格,万科城梧桐苑 -溧水城南,3室2厅 | 117.4平米 | 南 | 其他 | 低楼层(共27层)  | 塔楼,181.5,"15,460元/平"
满两年，设施齐全，好楼层，采光好，通风好，交通便利,时代景园 -溧水城南,3室2厅 | 118平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,129,"10,933元/平"
石虎名苑 无想山脚下 南边前排 视野开阔,石虎名苑 -溧水城南,3室2厅 | 91平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,84,"9,231元/平"
庆丰绿村 满两年 好楼层 三室99.6平95万,庆丰小区绿村 -溧水城中,3室2厅 | 99.6平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,79.8,"8,013元/平"
楼层好 采光充足 视野宽阔 配套齐全交通便利,中南锦城 -溧水城南,3室1厅 | 111.79平米 | 南 | 其他 | 高楼层(共18层)  | 塔楼,127.8,"11,433元/平"
中南锦城，精装修，满两年，东边户,中南锦城 -溧水城南,4室2厅 | 144.6平米 | 南 | 其他 | 低楼层(共18层)  | 塔楼,173,"11,965元/平"
前后通风，中高层， 视野好开阔 采光充足,碧桂园翡翠台 -溧水城南,3室1厅 | 118平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,134,"11,356元/平"
此房楼层好 通风效果好 户型方正 采光充足 随时看房,蓝湖西岸 -溧水城南,4室2厅 | 139平米 | 南 | 毛坯 | 高楼层(共10层)  | 塔楼,256,"18,418元/平"
开发商精装修  价格可以谈  万科物业 绿化好,万科城梧桐苑 -溧水城南,3室2厅 | 91.75平米 | 南 | 其他 | 低楼层(共27层)  | 塔楼,120,"13,080元/平"
家具家电齐全，满两年，中间楼层，采光充沛。,恒大金碧天下天鸿苑 -溧水恒大,3室1厅 | 127平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,90,"7,087元/平"
叠加别墅  精装修  实际使用面积多一层,蓝湖西岸 -溧水城南,4室3厅 | 175平米 | 南 | 精装 | 高楼层(共10层)  | 塔楼,315,"18,000元/平"
户型方正，标准三房，清爽装修，配套完善。,凯阳花园 -溧水城南,3室2厅 | 106平米 | 南 北 | 其他 | 中楼层(共5层)  | 塔楼,124,"11,699元/平"
精装修 满2年 采光充足  户型好,广成东方名城 -溧水城南,3室2厅 | 131平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,120,"9,161元/平"
房产证满2年，采光好，环境优美，花园式小区,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 104.09平米 | 南 北 | 其他 | 高楼层(共33层)  | 塔楼,84,"8,070元/平"
此房满两年，采光好 视野开阔 户型优越 精装房,恒大金碧天下湖光苑 -溧水恒大,4室1厅 | 126.19平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,90,"7,133元/平"
房产证满2年，采光好，环境优美，花园式小区,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 114.78平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,80,"6,970元/平"
万科物业 满二 税少 有产权车位另算,万科城银杏苑 -溧水城南,3室2厅 | 97.35平米 | 南 | 简装 | 低楼层(共27层)  | 塔楼,128,"13,149元/平"
万科棕榈苑 二次精装修空置 三开间朝南 含车位 满2年,万科城棕榈苑 -溧水城南,4室2厅 | 144平米 | 南 | 其他 | 高楼层(共28层)  | 塔楼,185,"12,848元/平"
南向，格局好通透，电梯房，满二，配套设施齐全！,石虎名苑 -溧水城南,3室1厅 | 90平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,84,"9,334元/平"
房屋户型方正，精装好  阳光好,荣昌花园 -溧水城南,3室2厅 | 144平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,185,"12,848元/平"
电梯房楼层采光好，视野好，环境优美，花园式小区,恒大金碧天下天鸿苑 -溧水恒大,3室1厅 | 126.8平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,119,"9,385元/平"
此房满两年，中高楼层，视野开阔采光佳，生活便利。,汇景苑 -溧水城南,3室2厅 | 137平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,165,"12,044元/平"
满两年  精装修 楼层好 采光充足 交通便利,水岸康城 -溧水城南,4室2厅 | 169平米 | 北 南 | 其他 | 高楼层(共5层)  | 板楼,219,"12,959元/平"
广成东方名城自住装修空置中 有10平储藏室 满5不唯一,广成东方名城 -溧水城南,3室2厅 | 104平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,120,"11,539元/平"
万科物业 满两年   无遮挡 采光充足  诚心出售,万科城银杏苑 -溧水城南,3室2厅 | 118平米 | 南 | 其他 | 低楼层(共27层)  | 塔楼,175,"14,831元/平"
万科物业  楼层好  采光充足  交通便利,万科城棕榈苑 -溧水城南,3室1厅 | 98.3平米 | 南 | 精装 | 中楼层(共28层)  | 塔楼,115,"11,699元/平"
万科梧桐苑 公园里 小区环境舒适宜人 看房方便,万科城梧桐苑 -溧水城南,3室2厅 | 91.7平米 | 南 | 精装 | 低楼层(共27层)  | 塔楼,118,"12,869元/平"
此房商品房，满两年，户型方正，次新小区,和春华府 -溧水其它,3室1厅 | 95.6平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,44,"4,603元/平"
房子精装修满2年 紧靠地铁站 南北格局好楼层,水岸康城 -溧水城南,3室2厅 | 127平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,140,"11,024元/平"
好房出售，好房出售，好房出售，好房出售，,万科城银杏苑 -溧水城南,3室2厅 | 93平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,119,"12,796元/平"
繁华地段 水岸新都 小区新 绿植率高,水岸新都 -溧水城南,3室2厅 | 91平米 | 东 | 其他 | 中楼层(共18层)  | 塔楼,125,"13,737元/平"
城南好地段，生活便利，配套完善，104平只要118万,幸福佳苑 -溧水城南,3室2厅 | 104平米 | 南 | 其他 | 高楼层(共11层)  | 板塔结合,113,"10,866元/平"
总高11层中间层 精装入住少 家里不开火 保养的很好,水岸新都 -溧水城南,3室2厅 | 130.62平米 | 南 | 其他 | 中楼层(共10层)  | 塔楼,170,"13,015元/平"
城南好房，楼层好精装修，无遮挡采光充足，视野宽阔！,碧桂园翡翠台 -溧水城南,3室2厅 | 118平米 | 南 | 其他 | 高楼层(共8层)  | 板塔结合,146,"12,373元/平"
新空毛坯 楼层好 总价低 无抵押 无户口 环境优美,石虎名苑 -溧水城南,3室1厅 | 93平米 | 南 | 其他 | 中楼层(共20层)  | 板塔结合,85,"9,140元/平"
户型方正，南北格局，通风好，采光好， 配套设施齐..,水岸康城 -溧水城南,3室2厅 | 127平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,135,"10,630元/平"
老精装修 采光充足 视野好 位置安静,荣昌花园 -溧水城南,3室2厅 | 139平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,130,"9,353元/平"
水岸康城，纯毛坯 三开间朝南可根据自己喜好进行装修,水岸康城 -溧水城南,3室2厅 | 112.94平米 | 东南 | 其他 | 低楼层(共5层)  | 板楼,130,"11,511元/平"
金龙南郡  三室一卫  毛坯  102平,金龙南郡 -溧水城南,3室1厅 | 102平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,85,"8,334元/平"
溧水城南碧桂园翡翠台三房两卫开发商精装修房诚售,碧桂园翡翠台 -溧水城南,3室1厅 | 118平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,170,"14,407元/平"
天生福邸，满两年，中间楼层多层，没有什么浪费空间！,天生福邸 -溧水城南,3室1厅 | 148平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,125,"8,446元/平"
溧水城南水岸康城 户型方正 三室两厅,水岸康城 -溧水城南,3室1厅 | 131.4平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,136,"10,351元/平"
小区地理位置优越，配套设施及完全，业主性格好,文苑小区 -溧水城南,3室1厅 | 125平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,122,"9,760元/平"
此房满二，户型方正，中间楼层，精装修,恒大金碧天下湖光苑 -溧水恒大,4室1厅 | 134平米 | 东 西 | 其他 | 低楼层(共18层)  | 板楼,95,"7,090元/平"
城南 无想山下  创源无想墅  毛坯 三室两卫,创源无想墅 -溧水城南,3室2厅 | 136平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,205,"15,074元/平"
和园精装修三房空置满2年，采光充足,和园 -溧水城南,3室2厅 | 136平米 | 南 | 其他 | 中楼层(共15层)  | 板楼,180,"13,236元/平"
万科城棕榈苑  楼层好 业主诚心出售,万科城棕榈苑 -溧水城南,3室1厅 | 98.47平米 | 南 | 其他 | 中楼层(共28层)  | 塔楼,132,"13,406元/平"
恒大天鸿苑三房出售，好楼层视野好，随时可看房,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 123平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,91,"7,399元/平"
恒大天鸿苑三房出售，好楼层视野好，随时可看房,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 123平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,91,"7,399元/平"
万科洋房楼层好，采光好，视野好，公摊面积小。,万科城梧桐苑 -溧水城南,3室2厅 | 93平米 | 南 | 精装 | 中楼层(共9层)  | 塔楼,130,"13,979元/平"
南向，格局好通透，电梯房，满二，配套设施齐全！,石虎名苑 -溧水城南,3室1厅 | 90平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,84,"9,334元/平"
房屋户型方正，精装好  阳光好,荣昌花园 -溧水城南,3室2厅 | 144平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,185,"12,848元/平"
满两年，设施齐全，好楼层，采光好，通风好，交通便利,时代景园 -溧水城南,3室2厅 | 118平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,129,"10,933元/平"
石虎名苑 无想山脚下 南边前排 视野开阔,石虎名苑 -溧水城南,3室2厅 | 91平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,84,"9,231元/平"
万科城棕榈苑  楼层好 业主诚心出售,万科城棕榈苑 -溧水城南,3室1厅 | 98.47平米 | 南 | 其他 | 中楼层(共28层)  | 塔楼,132,"13,406元/平"
三居室 楼层好 采光好 房屋无抵押,石虎名苑 -溧水城南,3室1厅 | 92平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,86,"9,348元/平"
石虎名苑 三居室 采光好 房屋无抵押,石虎名苑 -溧水城南,3室2厅 | 102平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,90,"8,824元/平"
"此房满两年,户型方正,精装修,拎包入住.",荣昌花园 -溧水城南,4室2厅 | 149.57平米 | 南 | 其他 | 中楼层(共7层)  | 板塔结合,165,"11,032元/平"
此房满五年，成熟配套，交通便利，之前自住保养好,水岸康城 -溧水城南,3室1厅 | 121平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,120,"9,918元/平"
碧桂园精装修 带地暖 南北朝向户型  满2年,碧桂园翡翠台 -溧水城南,4室1厅 | 147平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,245,"16,667元/平"
